,name
10755,Wound Reflection
10765,Abrade
10774,Balduvian Rage
10783,Battle-Rattle Shaman
10791,Blasphemous Act
10800,Blood Moon
10810,Bloodshot Trainee
10818,Brimstone Volley
10826,Cathartic Reunion
10834,Cragganwick Cremator
10843,Dismantle
10851,Dualcaster Mage
10860,Galvanic Blast
10868,Goblin Gaveleer
10876,Goblin Guide
10885,"Godo, Bandit Warlord"
10895,Grim Lavamancer
10905,Heat Shimmer
10913,Imperial Recruiter
10923,Ion Storm
10931,Kazuul's Toll Collector
10938,Kuldotha Flamefiend
10946,Lightning Axe
10954,Mana Echoes
10964,Orcish Vandal
10972,Pyrewild Shaman
10980,Rage Reflection
10989,Rapacious Dragon
10997,Ravenous Intruder
11005,Rolling Earthquake
11014,Salivating Gremlins
11022,Skinbrand Goblin
11030,Sneak Attack
11040,Temur Battle Rage
11048,Thopter Engineer
11056,Trash for Treasure
11066,Tuktuk the Explorer
11075,Weapon Surge
11083,Ancient Stirrings
11092,Avenger of Zendikar
11101,Awakening Zone
11110,Bloodbriar
11118,Bloodspore Thrinax
11127,Champion of Lambholt
11137,Chatter of the Squirrel
11146,Chord of Calling
11155,Clear Shot
11163,Conclave Naturalists
11171,Crop Rotation
11180,Crushing Vines
11188,Death-Hood Cobra
11196,Doubling Season
11206,Elvish Aberration
11214,Enlarge
11222,Exploration
11232,Fierce Empath
11240,Gelatinous Genesis
11247,Greater Good
11257,Heartbeat of Spring
11267,Invigorate
11276,Kozilek's Predator
11284,Liege of the Tangle
11294,Mana Reflection
11303,Might of the Masses
11311,Noble Hierarch
11321,Reclamation Sage
11330,Shamanic Revelation
11339,Skullmulcher
11347,Sylvan Might
11355,Terastodon
11364,Thragtusk
11372,Ulvenwald Mysteries
11380,Vengevine
11388,Veteran Explorer
11397,Whisperer of the Wilds
11406,Woodland Champion
11414,"Arixmethes, Slumbering Isle"
11424,"Atraxa, Praetors' Voice"
11434,Baleful Strix
11442,"Breya, Etherium Shaper"
11451,"Brudiclad, Telchor Engineer"
11461,Deathreap Ritual
11470,Falkenrath Aristocrat
11478,Fulminator Mage
11488,Geist of Saint Traft
11497,Ghor-Clan Rampager
11505,Glassdust Hulk
11513,"Hanna, Ship's Navigator"
11522,Hidden Stockpile
11540,"Jhoira, Weatherlight Captain"
11558,"Karrthus, Tyrant of Jund"
11568,Maelstrom Nexus
11578,Maelstrom Pulse
11588,Manamorphose
11597,"Mazirek, Kraul Death Priest"
11607,Meddling Mage
11616,Merciless Eviction
11625,Progenitor Mimic
11635,Rhys the Redeemed
11644,Riku of Two Reflections
11654,Savageborn Hydra
11663,The Scarab God
11672,Selesnya Guildmage
11680,Sen Triplets
11690,Sharuum the Hegemon
11700,Sphinx Summoner
11708,Swiftblade Vindicator
11716,Thopter Foundry
11725,Time Sieve
11734,Unlicensed Disintegration
11743,Vexing Shusher
11752,"Vish Kal, Blood Arbiter"
11762,Voice of Resurgence
11771,Weapons Trainer
11779,Yavimaya's Embrace
11787,Accomplished Automaton
11795,Adaptive Automaton
11815,Basilisk Collar
11824,Batterskull
11834,Blightsteel Colossus
11844,"Bosh, Iron Golem"
11853,Cathodion
11861,Chief of the Foundry
11879,Chrome Mox
11888,Clone Shell
11896,Cogwork Assembler
11904,Conjurer's Closet
11913,Coretapper
11923,Cranial Plating
11933,Culling Dais
11940,Darksteel Axe
11948,Darksteel Forge
11957,Duplicant
11965,Eager Construct
11973,Endless Atlas
11982,Engineered Explosives
11992,Ensnaring Bridge
12002,Everflowing Chalice
12010,Expedition Map
12018,Flayer Husk
12026,Gleaming Barrier
12034,Golem Artisan
12042,Golem-Skin Gauntlets
12051,Hammer of Nazahn
12060,Ichor Wellspring
12069,Iron Bully
12077,Iron League Steed
12085,Isochron Scepter
